Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Haman Hanged,Esther 7:1-10[[@Bible:Esther 7:1-10]],Esther 7:1-10
,The King's Edict in Behalf of the Jews,Esther 8:1-17[[@Bible:Esther 8:1-17]],Esther 8:1-17
,Triumph of the Jews,Esther 9:1-17[[@Bible:Esther 9:1-17]],Esther 9:1-17
,Purim Celebrated,Esther 9:18-32[[@Bible:Esther 9:18-32]],Esther 9:18-32
,The Greatness of Mordecai,Esther 10:1-3[[@Bible:Esther 10:1-3]],Esther 10:1-3
Job,,,
,Prologue,Job 1:1-5[[@Bible:Job 1:1-5]],Job 1:1-5
,Job's First Test,Job 1:6-22[[@Bible:Job 1:6-22]],Job 1:6-22
,Job's Second Test,Job 2:1-10[[@Bible:Job 2:1-10]],Job 2:1-10
,Job's Three Friends,Job 2:11-13[[@Bible:Job 2:11-13]],Job 2:11-13
,Job Speaks,Job 3:1-26[[@Bible:Job 3:1-26]],Job 3:1-26
,Eliphaz,Job 4:1-5:27[[@Bible:Job 4:1-5:27]],Job 4:1-5:27
,Job,Job 6:1-7:21[[@Bible:Job 6:1-7:21]],Job 6:1-7:21
,Bildad,Job 8:1-22[[@Bible:Job 8:1-22]],Job 8:1-22
,Job,Job 9:1-10:22[[@Bible:Job 9:1-10:22]],Job 9:1-10:22
,Zophar,Job 11:1-20[[@Bible:Job 11:1-20]],Job 11:1-20
,Job,Job 12:1-14:22[[@Bible:Job 12:1-14:22]],Job 12:1-14:22
,Eliphaz,Job 15:1-35[[@Bible:Job 15:1-35]],Job 15:1-35
,Job,Job 16:1-17:16[[@Bible:Job 16:1-17:16]],Job 16:1-17:16
,Bildad,Job 18:1-21[[@Bible:Job 18:1-21]],Job 18:1-21
,Job,Job 19:1-29[[@Bible:Job 19:1-29]],Job 19:1-29
,Zophar,Job 20:1-29[[@Bible:Job 20:1-29]],Job 20:1-29
,Job,Job 21:1-34[[@Bible:Job 21:1-34]],Job 21:1-34
,Eliphaz,Job 22:1-30[[@Bible:Job 22:1-30]],Job 22:1-30
,Job,Job 23:1-24:25[[@Bible:Job 23:1-24:25]],Job 23:1-24:25
,Bildad,Job 25:1-6[[@Bible:Job 25:1-6]],Job 25:1-6
,Job,Job 26:1-31:40[[@Bible:Job 26:1-31:40]],Job 26:1-31:40
,Elihu,Job 32:1-37:24[[@Bible:Job 32:1-37:24]],Job 32:1-37:24
,The LORD Speaks,Job 38:1-41:34[[@Bible:Job 38:1-41:34]],Job 38:1-41:34
,Job,Job 42:1-6[[@Bible:Job 42:1-6]],Job 42:1-6
,Epilogue,Job 42:7-17[[@Bible:Job 42:7-17]],Job 42:7-17
Psalm  - Book 1,,,
,BOOK I : Psalms 1-41,Psalm 1:1-2:12[[@Bible:Psalm 1:1-2:12]],Psalm 1:1-2:12
,A psalm of David. When he fled from his son Absalom.,Psalm 3:1-8[[@Bible:Psalm 3:1-8]],Psalm 3:1-8
,For the director of music. With stringed instruments. A psalm of David.,Psalm 4:1-8[[@Bible:Psalm 4:1-8]],Psalm 4:1-8
,For the director of music. For flutes. A psalm of David.,Psalm 5:1-12[[@Bible:Psalm 5:1-12]],Psalm 5:1-12
,For the director of music. With stringed instruments. According to sheminith . A psalm of David.,Psalm 6:1-10[[@Bible:Psalm 6:1-10]],Psalm 6:1-10
,"A shiggaion of David, which he sang to the LORD concerning Cush, a Benjamite.",Psalm 7:1-17[[@Bible:Psalm 7:1-17]],Psalm 7:1-17
,For the director of music. According to gittith . A psalm of David.,Psalm 8:1-9[[@Bible:Psalm 8:1-9]],Psalm 8:1-9
,For the director of music. To the tune of ôThe Death of the Son.ö A psalm of David.,Psalm 9:1-10:18[[@Bible:Psalm 9:1-10:18]],Psalm 9:1-10:18
,For the director of music. Of David.,Psalm 11:1-7[[@Bible:Psalm 11:1-7]],Psalm 11:1-7
,For the director of music. According to sheminith . A psalm of David.,Psalm 12:1-8[[@Bible:Psalm 12:1-8]],Psalm 12:1-8
,For the director of music. A psalm of David.,Psalm 13:1-6[[@Bible:Psalm 13:1-6]],Psalm 13:1-6
,For the director of music. Of David.,Psalm 14:1-7[[@Bible:Psalm 14:1-7]],Psalm 14:1-7
,A psalm of David.,Psalm 15:1-5[[@Bible:Psalm 15:1-5]],Psalm 15:1-5
,A miktam of David.,Psalm 16:1-11[[@Bible:Psalm 16:1-11]],Psalm 16:1-11
,A prayer of David.,Psalm 17:1-15[[@Bible:Psalm 17:1-15]],Psalm 17:1-15
,For the director of music. Of David the servant of the LORD . He sang to the LORD the words of this song when the LORD delivered him from the hand of all his enemies and from the hand of Saul. He said:,Psalm 18:1-50[[@Bible:Psalm 18:1-50]],Psalm 18:1-50
,For the director of music. A psalm of David.,Psalm 19:1-14[[@Bible:Psalm 19:1-14]],Psalm 19:1-14
,For the director of music. A psalm of David.,Psalm 20:1-9[[@Bible:Psalm 20:1-9]],Psalm 20:1-9
,For the director of music. A psalm of David.,Psalm 21:1-13[[@Bible:Psalm 21:1-13]],Psalm 21:1-13
,For the director of music. To the tune of ôThe Doe of the Morning.ö A psalm of David.,Psalm 22:1-31[[@Bible:Psalm 22:1-31]],Psalm 22:1-31
,A psalm of David.,Psalm 23:1-6[[@Bible:Psalm 23:1-6]],Psalm 23:1-6
,Of David. A psalm.,Psalm 24:1-10[[@Bible:Psalm 24:1-10]],Psalm 24:1-10
,Of David.,Psalm 25:1-22[[@Bible:Psalm 25:1-22]],Psalm 25:1-22
,Of David.,Psalm 26:1-12[[@Bible:Psalm 26:1-12]],Psalm 26:1-12
,Of David.,Psalm 27:1-14[[@Bible:Psalm 27:1-14]],Psalm 27:1-14
,Of David.,Psalm 28:1-9[[@Bible:Psalm 28:1-9]],Psalm 28:1-9
,A psalm of David.,Psalm 29:1-11[[@Bible:Psalm 29:1-11]],Psalm 29:1-11
,A psalm. A song. For the dedication of the temple. Of David.,Psalm 30:1-12[[@Bible:Psalm 30:1-12]],Psalm 30:1-12
,For the director of music. A psalm of David.,Psalm 31:1-24[[@Bible:Psalm 31:1-24]],Psalm 31:1-24
,Of David. A maskil.,Psalm 32:1-33:22[[@Bible:Psalm 32:1-33:22]],Psalm 32:1-33:22
,"Of David. When he pretended to be insane before Abimelech, who drove him away, and he left.",Psalm 34:1-22[[@Bible:Psalm 34:1-22]],Psalm 34:1-22
,Of David.,Psalm 35:1-28[[@Bible:Psalm 35:1-28]],Psalm 35:1-28
,For the director of music. Of David the servant of the LORD .,Psalm 36:1-12[[@Bible:Psalm 36:1-12]],Psalm 36:1-12
,Of David.,Psalm 37:1-40[[@Bible:Psalm 37:1-40]],Psalm 37:1-40
,A psalm of David. A petition.,Psalm 38:1-22[[@Bible:Psalm 38:1-22]],Psalm 38:1-22
,For the director of music. For Jeduthun. A psalm of David.,Psalm 39:1-13[[@Bible:Psalm 39:1-13]],Psalm 39:1-13
,For the director of music. Of David. A psalm.,Psalm 40:1-17[[@Bible:Psalm 40:1-17]],Psalm 40:1-17
,For the director of music. A psalm of David.,Psalm 41:1-13[[@Bible:Psalm 41:1-13]],Psalm 41:1-13
Psalm  - Book 2,,,
,BOOK II : Psalms 42-72; 42:For the director of music. A maskil of the Sons of Korah.,Psalm 42:1-43:5[[@Bible:Psalm 42:1-43:5]],Psalm 42:1-43:5
,For the director of music. Of the Sons of Korah. A maskil.,Psalm 44:1-26[[@Bible:Psalm 44:1-26]],Psalm 44:1-26
,For the director of music. To the tune of ôLilies.ö Of the Sons of Korah. A maskil. A wedding song.,Psalm 45:1-17[[@Bible:Psalm 45:1-17]],Psalm 45:1-17
,For the director of music. Of the Sons of Korah. According toalamoth. A song.,Psalm 46:1-11[[@Bible:Psalm 46:1-11]],Psalm 46:1-11
,For the director of music. Of the Sons of Korah. A psalm.,Psalm 47:1-9[[@Bible:Psalm 47:1-9]],Psalm 47:1-9
,A song. A psalm of the Sons of Korah.,Psalm 48:1-14[[@Bible:Psalm 48:1-14]],Psalm 48:1-14
,For the director of music. Of the Sons of Korah. A psalm.,Psalm 49:1-20[[@Bible:Psalm 49:1-20]],Psalm 49:1-20
,A psalm of Asaph.,Psalm 50:1-23[[@Bible:Psalm 50:1-23]],Psalm 50:1-23
,For the director of music. A psalm of David. When the prophet Nathan came to him after David had committed adultery with Bathsheba.,Psalm 51:1-19[[@Bible:Psalm 51:1-19]],Psalm 51:1-19
,For the director of music. A maskil of David. When Doeg the Edomite had gone to Saul and told him: ôDavid has gone to the house of Ahimelech.ö,Psalm 52:1-9[[@Bible:Psalm 52:1-9]],Psalm 52:1-9
,For the director of music. According to mahalath. A maskil of David.,Psalm 53:1-6[[@Bible:Psalm 53:1-6]],Psalm 53:1-6
,"For the director of music. With stringed instruments. Amaskil of David. When the Ziphites had gone to Saul and said, ôIs not David hiding among us?ö",Psalm 54:1-7[[@Bible:Psalm 54:1-7]],Psalm 54:1-7
,For the director of music. With stringed instruments. Amaskil of David.,Psalm 55:1-23[[@Bible:Psalm 55:1-23]],Psalm 55:1-23
,For the director of music. To the tune of ôA Dove on Distant Oaks.ö Of David. A miktam . When the Philistines had seized him in Gath.,Psalm 56:1-13[[@Bible:Psalm 56:1-13]],Psalm 56:1-13
,For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam . When he had fled from Saul into the cave.,Psalm 57:1-11[[@Bible:Psalm 57:1-11]],Psalm 57:1-11
,For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam .,Psalm 58:1-11[[@Bible:Psalm 58:1-11]],Psalm 58:1-11
,For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam . When Saul had sent men to watch David's house in order to kill him.,Psalm 59:1-17[[@Bible:Psalm 59:1-17]],Psalm 59:1-17
,"For the director of music. To the tune of ôThe Lily of the Covenant.ö A miktam of David. For teaching. When he fought Aram Naharaim and Aram Zobah, and when Joab returned and struck down twelve thousand Edomites in the Valley of Salt.",Psalm 60:1-12[[@Bible:Psalm 60:1-12]],Psalm 60:1-12
,For the director of music. With stringed instruments. Of David.,Psalm 61:1-8[[@Bible:Psalm 61:1-8]],Psalm 61:1-8
,For the director of music. For Jeduthun. A psalm of David.,Psalm 62:1-12[[@Bible:Psalm 62:1-12]],Psalm 62:1-12
,A psalm of David. When he was in the Desert of Judah.,Psalm 63:1-11[[@Bible:Psalm 63:1-11]],Psalm 63:1-11
,For the director of music. A psalm of David.,Psalm 64:1-10[[@Bible:Psalm 64:1-10]],Psalm 64:1-10
,For the director of music. A psalm of David. A song.,Psalm 65:1-13[[@Bible:Psalm 65:1-13]],Psalm 65:1-13
,For the director of music. A song. A psalm.,Psalm 66:1-20[[@Bible:Psalm 66:1-20]],Psalm 66:1-20
,For the director of music. With stringed instruments. A psalm. A song.,Psalm 67:1-7[[@Bible:Psalm 67:1-7]],Psalm 67:1-7
,For the director of music. Of David. A psalm. A song.,Psalm 68:1-35[[@Bible:Psalm 68:1-35]],Psalm 68:1-35
,For the director of music. To the tune of ôLilies.ö Of David.,Psalm 69:1-36[[@Bible:Psalm 69:1-36]],Psalm 69:1-36
,For the director of music. Of David. A petition.,Psalm 70:1-71:24[[@Bible:Psalm 70:1-71:24]],Psalm 70:1-71:24
,Of Solomon.,Psalm 72:1-20[[@Bible:Psalm 72:1-20]],Psalm 72:1-20
Psalm - Book 3,,,
,BOOK III -- Psalms 73-89,Psalm 73:1-28[[@Bible:Psalm 73:1-28]],Psalm 73:1-28
,A maskil of Asaph.,Psalm 74:1-23[[@Bible:Psalm 74:1-23]],Psalm 74:1-23
,For the director of music. To the tune of ôDo Not Destroy.ö A psalm of Asaph. A song.,Psalm 75:1-10[[@Bible:Psalm 75:1-10]],Psalm 75:1-10
,For the director of music. With stringed instruments. A psalm of Asaph. A song.,Psalm 76:1-12[[@Bible:Psalm 76:1-12]],Psalm 76:1-12
,For the director of music. For Jeduthun. Of Asaph. A psalm.,Psalm 77:1-20[[@Bible:Psalm 77:1-20]],Psalm 77:1-20
,A maskil of Asaph.,Psalm 78:1-72[[@Bible:Psalm 78:1-72]],Psalm 78:1-72
,A psalm of Asaph.,Psalm 79:1-13[[@Bible:Psalm 79:1-13]],Psalm 79:1-13
,For the director of music. To the tune of ôThe Lilies of the Covenant.ö Of Asaph. A psalm.,Psalm 80:1-19[[@Bible:Psalm 80:1-19]],Psalm 80:1-19
,For the director of music. According to gittith. Of Asaph.,Psalm 81:1-16[[@Bible:Psalm 81:1-16]],Psalm 81:1-16
,A psalm of Asaph.,Psalm 82:1-8[[@Bible:Psalm 82:1-8]],Psalm 82:1-8
,A song. A psalm of Asaph.,Psalm 83:1-18[[@Bible:Psalm 83:1-18]],Psalm 83:1-18
,For the director of music. According to gittith. Of the Sons of Korah. A psalm.,Psalm 84:1-12[[@Bible:Psalm 84:1-12]],Psalm 84:1-12
,For the director of music. Of the Sons of Korah. A psalm.,Psalm 85:1-13[[@Bible:Psalm 85:1-13]],Psalm 85:1-13
,A prayer of David.,Psalm 86:1-17[[@Bible:Psalm 86:1-17]],Psalm 86:1-17
,Of the Sons of Korah. A psalm. A song.,Psalm 87:1-7[[@Bible:Psalm 87:1-7]],Psalm 87:1-7
,A song. A psalm of the Sons of Korah. For the director of music. According to mahalath leannoth. A maskil &lt;footnote rnd=297381782 idx=1 &gt; Title: Probably a literary or musical term &lt;/footnote&gt; of Heman the Ezrahite.,Psalm 88:1-18[[@Bible:Psalm 88:1-18]],Psalm 88:1-18
,A maskil of Ethan the Ezrahite.,Psalm 89:1-52[[@Bible:Psalm 89:1-52]],Psalm 89:1-52
Psalm - Book 4,,,
,BOOK IV Psalms 90-106,Psalm 90:1-91:16[[@Bible:Psalm 90:1-91:16]],Psalm 90:1-91:16
,A psalm. A song. For the Sabbath day.,Psalm 92:1-97:12[[@Bible:Psalm 92:1-97:12]],Psalm 92:1-97:12
,A psalm.,Psalm 98:1-99:9[[@Bible:Psalm 98:1-99:9]],Psalm 98:1-99:9
,A psalm. For giving thanks.,Psalm 100:1-5[[@Bible:Psalm 100:1-5]],Psalm 100:1-5
,Of David. A psalm.,Psalm 101:1-8[[@Bible:Psalm 101:1-8]],Psalm 101:1-8
,A prayer of an afflicted man. When he is faint and pours out his lament before the LORD .,Psalm 102:1-28[[@Bible:Psalm 102:1-28]],Psalm 102:1-28
,Of David.,Psalm 103:1-106:48[[@Bible:Psalm 103:1-106:48]],Psalm 103:1-106:48
Psalm - Book 5,,,
,BOOK V Psalms 107-150,Psalm 107:1-43[[@Bible:Psalm 107:1-43]],Psalm 107:1-43
,A song. A psalm of David.,Psalm 108:1-13[[@Bible:Psalm 108:1-13]],Psalm 108:1-13
,For the director of music. Of David. A psalm.,Psalm 109:1-31[[@Bible:Psalm 109:1-31]],Psalm 109:1-31
,Of David. A psalm.,Psalm 110:1-118:29[[@Bible:Psalm 110:1-118:29]],Psalm 110:1-118:29
,Aleph,Psalm 119:1-8[[@Bible:Psalm 119:1-8]],Psalm 119:1-8
,Beth,Psalm 119:9-16[[@Bible:Psalm 119:9-16]],Psalm 119:9-16
,Gimel,Psalm 119:17-24[[@Bible:Psalm 119:17-24]],Psalm 119:17-24
,Daleth,Psalm 119:25-32[[@Bible:Psalm 119:25-32]],Psalm 119:25-32
,He,Psalm 119:33-40[[@Bible:Psalm 119:33-40]],Psalm 119:33-40
,Waw,Psalm 119:41-48[[@Bible:Psalm 119:41-48]],Psalm 119:41-48
,Zayin,Psalm 119:49-56[[@Bible:Psalm 119:49-56]],Psalm 119:49-56
,Heth,Psalm 119:57-64[[@Bible:Psalm 119:57-64]],Psalm 119:57-64
,Teth,Psalm 119:65-72[[@Bible:Psalm 119:65-72]],Psalm 119:65-72
,Yodh,Psalm 119:73-80[[@Bible:Psalm 119:73-80]],Psalm 119:73-80
,Kaph,Psalm 119:81-88[[@Bible:Psalm 119:81-88]],Psalm 119:81-88
,Lamedh,Psalm 119:89-176[[@Bible:Psalm 119:89-176]],Psalm 119:89-176
,Mem,Psalm 119:96-104[[@Bible:Psalm 119:96-104]],Psalm 119:96-104
,Nun,Psalm 119:105-112[[@Bible:Psalm 119:105-112]],Psalm 119:105-112
,Samekh,Psalm 119:113-120[[@Bible:Psalm 119:113-120]],Psalm 119:113-120
,Ayin,Psalm 119:121-128[[@Bible:Psalm 119:121-128]],Psalm 119:121-128
,Pe,Psalm 119:129-136[[@Bible:Psalm 119:129-136]],Psalm 119:129-136
,Tsadhe,Psalm 119:137-144[[@Bible:Psalm 119:137-144]],Psalm 119:137-144
,Qoph,Psalm 119:145-152[[@Bible:Psalm 119:145-152]],Psalm 119:145-152
,Resh,Psalm 119:153-160[[@Bible:Psalm 119:153-160]],Psalm 119:153-160
,Sin and Shin,Psalm 119:161-168[[@Bible:Psalm 119:161-168]],Psalm 119:161-168
,Taw,Psalm 119:169-176[[@Bible:Psalm 119:169-176]],Psalm 119:169-176
,A song of ascents.,Psalm 120:1-7[[@Bible:Psalm 120:1-7]],Psalm 120:1-7
,A song of ascents.,Psalm 121:1-8[[@Bible:Psalm 121:1-8]],Psalm 121:1-8
,A song of ascents. Of David.,Psalm 122:1-9[[@Bible:Psalm 122:1-9]],Psalm 122:1-9
,A song of ascents.,Psalm 123:1-4[[@Bible:Psalm 123:1-4]],Psalm 123:1-4
,A song of ascents. Of David.,Psalm 124:1-8[[@Bible:Psalm 124:1-8]],Psalm 124:1-8
,A song of ascents.,Psalm 125:1-5[[@Bible:Psalm 125:1-5]],Psalm 125:1-5
,A song of ascents.,Psalm 126:1-6[[@Bible:Psalm 126:1-6]],Psalm 126:1-6
,A song of ascents. Of Solomon.,Psalm 127:1-5[[@Bible:Psalm 127:1-5]],Psalm 127:1-5
,A song of ascents.,Psalm 128:1-6[[@Bible:Psalm 128:1-6]],Psalm 128:1-6
,A song of ascents.,Psalm 129:1-8[[@Bible:Psalm 129:1-8]],Psalm 129:1-8
,A song of ascents.,Psalm 130:1-8[[@Bible:Psalm 130:1-8]],Psalm 130:1-8
,A song of ascents. Of David.,Psalm 131:1-3[[@Bible:Psalm 131:1-3]],Psalm 131:1-3
,A song of ascents.,Psalm 132:1-18[[@Bible:Psalm 132:1-18]],Psalm 132:1-18
,A song of ascents. Of David.,Psalm 133:1-3[[@Bible:Psalm 133:1-3]],Psalm 133:1-3
,A song of ascents.,Psalm 134:1-137:9[[@Bible:Psalm 134:1-137:9]],Psalm 134:1-137:9
,Of David.,Psalm 138:1-8[[@Bible:Psalm 138:1-8]],Psalm 138:1-8
,For the director of music. Of David. A psalm.,Psalm 139:1-24[[@Bible:Psalm 139:1-24]],Psalm 139:1-24
,For the director of music. A psalm of David.,Psalm 140:1-13[[@Bible:Psalm 140:1-13]],Psalm 140:1-13
,A psalm of David.,Psalm 141:1-10[[@Bible:Psalm 141:1-10]],Psalm 141:1-10
,A maskil of David. When he was in the cave. A prayer.,Psalm 142:1-7[[@Bible:Psalm 142:1-7]],Psalm 142:1-7
,A psalm of David.,Psalm 143:1-12[[@Bible:Psalm 143:1-12]],Psalm 143:1-12
,Of David.,Psalm 144:1-15[[@Bible:Psalm 144:1-15]],Psalm 144:1-15
,A psalm of praise. Of David.,Psalm 145:1-150:6[[@Bible:Psalm 145:1-150:6]],Psalm 145:1-150:6
Proverbs,,,
,Prologue: Purpose and Theme,Proverbs 1:1-7[[@Bible:Proverbs 1:1-7]],Proverbs 1:1-7
,Exhortations to Embrace Wisdom,Proverbs 1:8-19[[@Bible:Proverbs 1:8-19]],Proverbs 1:8-19
,Warning Against Rejecting Wisdom,Proverbs 1:20-33[[@Bible:Proverbs 1:20-33]],Proverbs 1:20-33
,Moral Benefits of Wisdom,Proverbs 2:1-22[[@Bible:Proverbs 2:1-22]],Proverbs 2:1-22
,Further Benefits of Wisdom,Proverbs 3:1-35[[@Bible:Proverbs 3:1-35]],Proverbs 3:1-35
,Wisdom Is Supreme,Proverbs 4:1-27[[@Bible:Proverbs 4:1-27]],Proverbs 4:1-27
,Warning Against Adultery,Proverbs 5:1-23[[@Bible:Proverbs 5:1-23]],Proverbs 5:1-23
,Warnings Against Folly,Proverbs 6:1-19[[@Bible:Proverbs 6:1-19]],Proverbs 6:1-19
,Warning Against Adultery,Proverbs 6:20-35[[@Bible:Proverbs 6:20-35]],Proverbs 6:20-35
,Warning Against the Adulteress,Proverbs 7:1-27[[@Bible:Proverbs 7:1-27]],Proverbs 7:1-27
,Wisdom's Call,Proverbs 8:1-36[[@Bible:Proverbs 8:1-36]],Proverbs 8:1-36
,Invitations of Wisdom and of Folly,Proverbs 9:1-18[[@Bible:Proverbs 9:1-18]],Proverbs 9:1-18
,Proverbs of Solomon - Ch 10,Proverbs 10:1-32[[@Bible:Proverbs 10:1-32]],Proverbs 10:1-32
,Proverbs of Solomon - Ch 11,Proverbs 11:1-31[[@Bible:Proverbs 11:1-31]],Proverbs 11:1-31
,Proverbs of Solomon - Ch 12,Proverbs 12:1-28[[@Bible:Proverbs 12:1-28]],Proverbs 12:1-28
,Proverbs of Solomon - Ch 13,Proverbs 13:1-25[[@Bible:Proverbs 13:1-25]],Proverbs 13:1-25
,Proverbs of Solomon - Ch 14,Proverbs 14:1-35[[@Bible:Proverbs 14:1-35]],Proverbs 14:1-35
,Proverbs of Solomon - Ch 15,Proverbs 15:1-33[[@Bible:Proverbs 15:1-33]],Proverbs 15:1-33
,Proverbs of Solomon - Ch 16,Proverbs 16:1-33[[@Bible:Proverbs 16:1-33]],Proverbs 16:1-33
,Proverbs of Solomon - Ch 17,Proverbs 17:1-28[[@Bible:Proverbs 17:1-28]],Proverbs 17:1-28
,Proverbs of Solomon - Ch 18,Proverbs 18:1-24[[@Bible:Proverbs 18:1-24]],Proverbs 18:1-24
,Proverbs of Solomon - Ch 19,Proverbs 19:1-29[[@Bible:Proverbs 19:1-29]],Proverbs 19:1-29
,Proverbs of Solomon - Ch 20,Proverbs 20:1-30[[@Bible:Proverbs 20:1-30]],Proverbs 20:1-30
,Proverbs of Solomon - Ch 21,Proverbs 21:1-31[[@Bible:Proverbs 21:1-31]],Proverbs 21:1-31
,Proverbs of Solomon - Ch 22,Proverbs 22:1-16[[@Bible:Proverbs 22:1-16]],Proverbs 22:1-16
,Sayings of the Wise,Proverbs 22:17-24:34[[@Bible:Proverbs 22:17-24:34]],Proverbs 22:17-24:34
,More Proverbs of Solomon - Ch 25,Proverbs 25:1-28[[@Bible:Proverbs 25:1-28]],Proverbs 25:1-28
,More Proverbs of Solomon - Ch 26,Proverbs 26:1-28[[@Bible:Proverbs 26:1-28]],Proverbs 26:1-28
,More Proverbs of Solomon - Ch 27,Proverbs 27:1-27[[@Bible:Proverbs 27:1-27]],Proverbs 27:1-27
,More Proverbs of Solomon - Ch 28,Proverbs 28:1-28[[@Bible:Proverbs 28:1-28]],Proverbs 28:1-28
,More Proverbs of Solomon - Ch 29,Proverbs 29:1-27[[@Bible:Proverbs 29:1-27]],Proverbs 29:1-27
,Sayings of Agur,Proverbs 30:1-33[[@Bible:Proverbs 30:1-33]],Proverbs 30:1-33
,Sayings of King Lemuel,Proverbs 31:1-31[[@Bible:Proverbs 31:1-31]],Proverbs 31:1-31
Ecclesiastes,,,
,Everything Is Meaningless,Ecclesiastes 1:1-11[[@Bible:Ecclesiastes 1:1-11]],Ecclesiastes 1:1-11
,Wisdom Is Meaningless,Ecclesiastes 1:12-18[[@Bible:Ecclesiastes 1:12-18]],Ecclesiastes 1:12-18
,Pleasures Are Meaningless,Ecclesiastes 2:1-11[[@Bible:Ecclesiastes 2:1-11]],Ecclesiastes 2:1-11
,Wisdom and Folly Are Meaningless,Ecclesiastes 2:12-16[[@Bible:Ecclesiastes 2:12-16]],Ecclesiastes 2:12-16
,Toil Is Meaningless,Ecclesiastes 2:17-26[[@Bible:Ecclesiastes 2:17-26]],Ecclesiastes 2:17-26
,A Time for Everything,Ecclesiastes 3:1-22[[@Bible:Ecclesiastes 3:1-22]],Ecclesiastes 3:1-22
,"Oppression, Toil, Friendlessness",Ecclesiastes 4:1-12[[@Bible:Ecclesiastes 4:1-12]],Ecclesiastes 4:1-12
,Advancement Is Meaningless,Ecclesiastes 4:13-16[[@Bible:Ecclesiastes 4:13-16]],Ecclesiastes 4:13-16
,Stand in Awe of God,Ecclesiastes 5:1-7[[@Bible:Ecclesiastes 5:1-7]],Ecclesiastes 5:1-7
,Riches Are Meaningless,Ecclesiastes 5:8-6:12[[@Bible:Ecclesiastes 5:8-6:12]],Ecclesiastes 5:8-6:12
,Wisdom,Ecclesiastes 7:1-8:1[[@Bible:Ecclesiastes 7:1-8:1]],Ecclesiastes 7:1-8:1
,Obey the King,Ecclesiastes 8:2-17[[@Bible:Ecclesiastes 8:2-17]],Ecclesiastes 8:2-17
,A Common Destiny for All,Ecclesiastes 9:1-12[[@Bible:Ecclesiastes 9:1-12]],Ecclesiastes 9:1-12
,Wisdom Better Than Folly,Ecclesiastes 9:13-10:20[[@Bible:Ecclesiastes 9:13-10:20]],Ecclesiastes 9:13-10:20
,Bread Upon the Waters,Ecclesiastes 11:1-6[[@Bible:Ecclesiastes 11:1-6]],Ecclesiastes 11:1-6
,Remember Your Creator While Young,Ecclesiastes 11:7-12:8[[@Bible:Ecclesiastes 11:7-12:8]],Ecclesiastes 11:7-12:8
,The Conclusion of the Matter,Ecclesiastes 12:9-14[[@Bible:Ecclesiastes 12:9-14]],Ecclesiastes 12:9-14
Song,,,
,Beloved,Song 1:1-4[[@Bible:Song 1:1-4]],Song 1:1-4
,Friends,Song 1:5-7[[@Bible:Song 1:5-7]],Song 1:5-7
,Friends,Song 1:8[[@Bible:Song 1:8]],Song 1:8
,Lover,Song 1:9-11[[@Bible:Song 1:9-11]],Song 1:9-11
,Beloved,Song 1:12-14[[@Bible:Song 1:12-14]],Song 1:12-14
,Lover,Song 1:15[[@Bible:Song 1:15]],Song 1:15
,Beloved,Song 1:16-17[[@Bible:Song 1:16-17]],Song 1:16-17
,Beloved,Song 2:1[[@Bible:Song 2:1]],Song 2:1
,Lover,Song 2:2[[@Bible:Song 2:2]],Song 2:2
,Beloved,Song 2:3-13[[@Bible:Song 2:3-13]],Song 2:3-13
,Lover,Song 2:14-15[[@Bible:Song 2:14-15]],Song 2:14-15
,Beloved,Song 2:16-3:11[[@Bible:Song 2:16-3:11]],Song 2:16-3:11
,Lover,Song 4:1-16[[@Bible:Song 4:1-16]],Song 4:1-16
,Lover,Song 5:1[[@Bible:Song 5:1]],Song 5:1
,Friends,Song 5:2-8[[@Bible:Song 5:2-8]],Song 5:2-8
,Friends,Song 5:9[[@Bible:Song 5:9]],Song 5:9
,Beloved,Song 5:10-16[[@Bible:Song 5:10-16]],Song 5:10-16
,Friends,Song 6:1[[@Bible:Song 6:1]],Song 6:1
,Beloved,Song 6:2-3[[@Bible:Song 6:2-3]],Song 6:2-3
,Lover,Song 6:4-9[[@Bible:Song 6:4-9]],Song 6:4-9
,Friends,Song 6:10[[@Bible:Song 6:10]],Song 6:10
,Lover,Song 6:11-7:9[[@Bible:Song 6:11-7:9]],Song 6:11-7:9
,Beloved,Song 7:10-8:4[[@Bible:Song 7:10-8:4]],Song 7:10-8:4
,Friends,Song 8:5-7[[@Bible:Song 8:5-7]],Song 8:5-7
,Friends,Song 8:8-9[[@Bible:Song 8:8-9]],Song 8:8-9
,Beloved,Song 8:10-12[[@Bible:Song 8:10-12]],Song 8:10-12
,Lover,Song 8:13-14[[@Bible:Song 8:13-14]],Song 8:13-14
Isaiah,,,
,A Rebellious Nation,Isaiah 1:1-31[[@Bible:Isaiah 1:1-31]],Isaiah 1:1-31
,The Mountain of the Lord,Isaiah 2:1-6[[@Bible:Isaiah 2:1-6]],Isaiah 2:1-6
,The Day of the Lord,Isaiah 2:7-22[[@Bible:Isaiah 2:7-22]],Isaiah 2:7-22
