Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Moses and the Glory of the LORD,Exodus 33:12-23[[@Bible:Exodus 33:12-23]],Exodus 33:12-23
,The New Stone Tablets,Exodus 34:1-28[[@Bible:Exodus 34:1-28]],Exodus 34:1-28
,The Radiant Face of Moses,Exodus 34:29-35[[@Bible:Exodus 34:29-35]],Exodus 34:29-35
,Sabbath Regulations,Exodus 35:1-3[[@Bible:Exodus 35:1-3]],Exodus 35:1-3
,Materials for the Tabernacle,Exodus 35:4-29[[@Bible:Exodus 35:4-29]],Exodus 35:4-29
,Bezalel and Oholiab,Exodus 35:30-36:7[[@Bible:Exodus 35:30-36:7]],Exodus 35:30-36:7
,The Tabernacle,Exodus 36:8-38[[@Bible:Exodus 36:8-38]],Exodus 36:8-38
,The Ark,Exodus 37:1-9[[@Bible:Exodus 37:1-9]],Exodus 37:1-9
,The Table,Exodus 37:10-16[[@Bible:Exodus 37:10-16]],Exodus 37:10-16
,The Lampstand,Exodus 37:17-24[[@Bible:Exodus 37:17-24]],Exodus 37:17-24
,The Altar of Incense,Exodus 37:25-29[[@Bible:Exodus 37:25-29]],Exodus 37:25-29
,The Altar of Burnt Offering,Exodus 38:1-7[[@Bible:Exodus 38:1-7]],Exodus 38:1-7
,Basin for Washing,Exodus 38:8[[@Bible:Exodus 38:8]],Exodus 38:8
,The Courtyard,Exodus 38:9-20[[@Bible:Exodus 38:9-20]],Exodus 38:9-20
,The Materials Used,Exodus 38:21-31[[@Bible:Exodus 38:21-31]],Exodus 38:21-31
,The Priestly Garments,Exodus 39:1[[@Bible:Exodus 39:1]],Exodus 39:1
,The Ephod,Exodus 39:2-7[[@Bible:Exodus 39:2-7]],Exodus 39:2-7
,The Breastpiece,Exodus 39:8-21[[@Bible:Exodus 39:8-21]],Exodus 39:8-21
,Other Priestly Garments,Exodus 39:22-31[[@Bible:Exodus 39:22-31]],Exodus 39:22-31
,Moses Inspects the Tabernacle,Exodus 39:32-43[[@Bible:Exodus 39:32-43]],Exodus 39:32-43
,Setting Up the Tabernacle,Exodus 40:1-33[[@Bible:Exodus 40:1-33]],Exodus 40:1-33
,The Glory of the Lord,Exodus 40:34-38[[@Bible:Exodus 40:34-38]],Exodus 40:34-38
Leviticus,,,
,The Burnt Offering,Leviticus 1:1-17[[@Bible:Leviticus 1:1-17]],Leviticus 1:1-17
,The Grain Offering,Leviticus 2:1-16[[@Bible:Leviticus 2:1-16]],Leviticus 2:1-16
